	
ভাৰত  বাংলাদেশ সীমান্তৱৰ্তী  জিলা সমুহৰ সমস্যা সমাধানৰ উদ্দেশ্যে সোমবাৰে শিলচৰত অনুষ্ঠিত হৈছে  উপায়ুক্ত পৰ্যায়ৰ  এখন উচ্চস্তৰীয়  বৈঠক ৷	A high-level meeting of the Deputy Commissioner level was held in Silchar on Monday to resolve the problems of the districts bordering India and Bangladesh.
গালৱান উপত্যকাত ৰক্তক্ষয়ী সংঘাটৰ পাছত প্ৰশ্ন উঠিছে হব পাৰে নেকি সীমান্ত কেন্দ্ৰিক বিবাদক লৈ যুদ্ধ।	In the aftermath of the bloody clashes in the Galwan Valley, questions may have been raised as to whether the war was a border-centric dispute.
আলোচনাচক্ৰত ভৱানীপুৰ আঞ্চলিক মহাবিদ্যালয়ৰ অধ্যক্ষ ড: মুকুন্দ শৰ্মা আৰু হাউলীৰ জিলা শৈক্ষিক প্ৰশিক্ষণ প্ৰতিষ্ঠানৰ অধ্যক্ষা মীনাক্ষী দাসেও সমল ব্যক্তি হিচাবে ভাষণ প্ৰদান কৰাৰ লগতে উপস্থিত শিক্ষক সকলৰ বিভিন্ন প্ৰশ্নৰ উত্তৰ দিয়ে।	In the seminar, Dr. Mukund Sharma, Principal, Regional College, Bhabanipur and Meenakshi Das, Principal, District Institute of Educational Training, Howly also addressed the gathering and answered various queries of the teachers present.
’‘সংখ্যালঘু’ মুছলমান সম্প্ৰদায়ক সকিয়নী প্ৰদান কৰি বিজেপিৰ বিধায়কজনে কয়, ‘যেতিয়া আপোনালোকে এইখন দেশত বাস কৰে, তেতিয়া সংখ্যাগুৰুৰ পৰা সাৱধান হৈ থকা উচিত।	"Giving jitters to the minority'Muslim community ', the BJP MLA said," "When you live in this country, you should beware of the majority."
অসহায় ভূপেন বৰাৰ মুখত ওলাল উন্নয়নৰ কথা	Development talk on helpless Bhupen Bora's face
এনেদৰে এতিয়া পশ্চিম কাৰ্বি আংলঙৰ বৃহত্তৰ খেৰণি অঞ্চলত প্ৰতিনিশাই চলিব ধৰিছে বনৰীয়া হাতীৰ ইটোৰ পিছত সিটোকৈ অৱৰ্ণনীয় তাণ্ডৱ।	In this way, now in the greater Kharani region of West Karbi Anglong, wild elephants are on the prowl, going on unspeakable rampages one after the other.
সেয়েহে ৰাইজে কোনো ভয় শংকা নকৰাকৈ লকডাউন মানি চলি নিজ নিজ গৃহৰ ভিতৰতে আৱদ্ধ থাকক।	Therefore, people should follow the lockdown without any fear and stay inside their homes.
দুৰ্ঘটনাত গুৰুত্বৰ ভাৱে আহত দুজন লোক।	Two people were seriously injured in the accident.
যাৰফলত দীপক কুমাৰ ডেকাৰ কপৌফুলৰ চাহিদাও নাই।	As a result, Deepak Kumar Deka's cup of coffee is not in demand.
ডিজিটেল ডেস্ক: পুনৰ উত্তপ্ত পৰিস্থিতি জম্মু-কাশ্মীৰত।	New Delhi: The situation in Jammu and Kashmir is heating up again.
আনহাতে, নিশা তিতাবৰ-গোলাঘাট সংযোগী ধোদৰ আলি পথৰ দাঁতিত থকা বিদ্যুত পৰিবাহী তাঁৰৰ খুটাত খুন্দা মাৰে AS03-Q-7112 নম্বৰৰ এখন পালচাৰ বাইকে৷	On the other hand, a Pulsar bike bearing registration number AS03-Q-7112 hit a live wire on the roadside of Dhodar Ali road connecting Titabor-Golaghat at night.
ফলত সোৱণশিৰি নদীৰ নিৰ্মীয়মাণ বান্ধৰ ওপৰৰে বৈছে পানী।	As a result, the water flows over the Dharmaman Dam of the Swansiri River.
অনুসূচীত জাতি যুৱ ছাত্ৰ পৰিষদৰ নগাঁও জিলা সমিতিয়ে বাহিৰ কৰে এই জোঁৰ সমদল৷	The rally was taken out by the Nagaon district committee of the Scheduled Castes Youth Students'Council.
টীম ইণ্ডিয়া–শ্রীলংকাৰ আজি দ্বিতীয় টি–২০	Team India-Sri Lanka 2nd T20I today
দুৰ্ঘটনা  সংঘটিত কৰা বাহন খনৰ পৰা  ৰহস্যজনক ভাৱে উদ্ধাৰ হয় বৃহৎ  পৰিমাণৰ  গাঞ্জা ।	A large quantity of ganja was mysteriously recovered from the vehicle that caused the accident.
কিন্তু দলে যি দায়িত্ব দিয়ে, পালন কৰিবলৈ প্ৰস্তুত আছিলো।	But I was ready to take whatever responsibility the party gave me.
গৌতম আদানিয়ে পূর্বৰ চতুর্থ স্থানৰ পৰা দ্বিতীয় স্থানলৈ উন্নীত হোৱাৰ বিপৰীতে বিনোদ আদানিয়ে ১২সংখ্যক স্থানৰ পৰা অষ্টম স্থানলৈ উন্নীত হৈছে৷	Gautam Adani has moved up to the second spot from his previous fourth position while Vinod Adani has moved up to the eighth position from 12th position.
১২টা বল বাকী থাকোতেই লক্ষ্য স্পৰ্শ পাকিস্তানৰ।	Pakistan chased down the target with 12 balls to spare.
তদুপৰি মুখ্যমন্ত্ৰীয়ে চৰকাৰী আঁচনিসমুহ সঠিক ৰূপায়নৰ ক্ষেত্ৰত সকলোকে চোকা দৃষ্টি ৰাখিবলৈ আহ্বান জনাইছে।	The Chief Minister has also urged everyone to keep a close eye on the proper implementation of government schemes.
